edad,salario,genero,estrato,hijos,comprado
21,2128051,1,1,1,0
20,4734750,1,3,1,1
39,4923214,1,4,0,1
56,3320842,1,1,1,0
23,2772738,0,1,4,0
48,2819297,1,3,0,0
48,3728776,0,4,2,0
18,3272045,1,5,2,0
68,3537060,1,3,1,0
59,3455954,0,4,0,1
39,4283110,1,3,3,1
67,4663024,1,1,2,1
40,4636715,0,3,1,1
36,2568134,1,6,2,1
29,4383041,0,6,1,1
26,2983709,1,2,0,1
45,3537950,1,1,2,0
23,3072694,1,5,3,0
58,5097816,1,1,1,1
53,3978350,1,3,0,1
44,3053962,0,4,2,1
23,2823032,0,4,1,0
67,2193779,1,4,1,0
51,3103466,0,3,3,1
26,4801252,1,3,1,1
63,1849859,1,2,3,0
51,4294361,0,2,0,1
54,2602683,1,1,4,0
34,5099078,1,1,1,1
66,2048909,0,2,2,0
39,3621514,0,5,3,0
48,2650351,1,4,3,0
54,4693617,1,2,4,0
57,3884060,0,5,3,1
62,3364404,0,3,1,0
44,2952142,1,2,3,0
70,4698117,0,2,3,1
34,1993087,0,5,1,0
34,3802857,1,1,1,1
47,4695401,1,2,1,1
40,3764301,0,5,1,0
39,4062816,0,2,0,0
48,2891938,0,3,1,0
32,4858843,0,3,3,0
36,4160113,0,2,1,1
34,3239092,1,2,1,0
49,2331955,0,2,0,0
51,3387621,0,2,3,0
23,2728958,0,3,1,0
22,2139424,1,3,3,0
66,2222110,1,3,0,0
33,3164413,0,2,0,1
44,5047743,1,3,0,1
45,2740334,1,5,1,0
38,4503597,0,3,2,1
44,3118969,0,3,4,1
22,3416526,1,5,0,0
24,2986637,0,1,4,0
46,5030762,1,2,0,1
66,2040751,0,3,1,0
42,2243163,0,3,3,0
28,2518057,0,2,0,0
30,3366411,1,1,0,1
60,4621341,0,2,4,0
33,4115599,1,2,0,1
60,1964078,1,2,0,0
25,4526523,0,2,0,0
56,3695042,1,5,5,1
26,2976032,1,5,2,0
18,2780910,1,3,0,0
29,3839139,1,3,0,0
30,2469976,1,3,0,0
67,5193527,1,2,3,1
19,4905764,1,4,3,1
67,5252412,0,2,0,1
35,1949741,0,5,0,0
26,3569813,1,3,2,0
25,4549718,0,6,1,1
66,2078566,1,3,0,1
24,4849297,1,4,3,1
61,1752125,0,4,0,0
18,2362502,1,1,3,0
28,1834344,1,4,0,0
43,3654480,1,3,2,1
37,2935280,1,3,3,1
27,3246093,1,2,4,0
45,2290034,0,5,3,0
53,3775968,0,5,0,1
54,2012160,1,4,4,0
31,4992942,0,3,4,0
31,2096224,0,2,2,0
44,2389777,1,3,1,0
45,4049892,0,1,0,0
68,2672560,1,2,1,0
29,4868500,0,6,4,1
27,3946263,0,3,2,0
48,3380644,0,2,3,0
36,1934356,1,2,0,1
69,4917515,1,4,2,0
57,2226436,0,2,1,0
24,4831101,1,5,3,1
49,4707042,1,2,2,0
66,2574804,1,2,1,0
21,2266267,0,2,0,0
61,3705484,1,4,0,1
59,4092240,0,4,1,1
35,3287382,1,6,1,1
65,3254511,1,2,0,0
23,1883994,1,3,0,0
41,3670757,1,4,5,0
53,4185321,1,4,3,1
20,4607310,0,1,1,0
45,2188752,0,2,2,0
40,4534971,1,3,1,1
26,3150543,0,3,1,0
69,4195107,0,2,0,0
25,3066065,1,1,1,1
23,4781839,0,2,0,1
59,3317535,1,5,1,1
21,3125642,0,5,4,0
64,3871919,1,2,0,1
46,2467443,1,3,0,0
62,3014003,1,2,2,0
20,2593871,1,4,0,0
32,3374168,1,5,0,0
48,3278947,1,3,4,0
23,4925190,1,5,5,1
38,2203749,1,3,2,0
28,3885308,1,4,1,1
67,4930693,1,2,1,1
65,3040447,0,3,1,0
26,2240228,0,2,2,0
37,3911000,1,2,1,0
30,4377818,1,2,2,1
67,2305809,0,3,0,0
60,1895485,0,2,0,0
29,3698828,1,3,0,1
60,2296392,0,3,1,0
28,4334893,1,4,2,0
57,3855544,1,2,1,0
27,4519472,0,2,2,1
